KE = 18.0773, PE = -6.26221, total = 11.8151
KE = 17.8363, PE = -5.97566, total = 11.8607
KE = 17.5196, PE = -5.60374, total = 11.9158
KE = 17.1102, PE = -5.12873, total = 11.9815
KE = 16.5898, PE = -4.53171, total = 12.0581
KE = 15.9392, PE = -3.79406, total = 12.1452
KE = 15.1409, PE = -2.90002, total = 12.2409
KE = 14.1817, PE = -1.84073, total = 12.341
KE = 13.0581, PE = -0.619702, total = 12.4384
KE = 11.782, PE = 0.740472, total = 12.5224
KE = 10.3879, PE = 2.19143, total = 12.5794
KE = 8.93883, PE = 3.65475, total = 12.5936
KE = 7.52791, PE = 5.02332, total = 12.5512
KE = 6.27336, PE = 6.17147, total = 12.4448
KE = 5.30322, PE = 6.97479, total = 12.278
KE = 4.73177, PE = 7.33592, total = 12.0677
KE = 4.63344, PE = 7.20839, total = 11.8418
KE = 5.0236, PE = 6.6089, total = 11.6325
KE = 5.8544, PE = 5.61286, total = 11.4673
KE = 7.02745, PE = 4.33503, total = 11.3625
KE = 8.41785, PE = 2.90348, total = 11.3213
KE = 9.90001, PE = 1.43612, total = 11.3361
KE = 11.3673, PE = 0.0258306, total = 11.3931
KE = 12.742, PE = -1.26486, total = 11.4771
KE = 13.9763, PE = -2.40171, total = 11.5746
KE = 15.0482, PE = -3.37291, total = 11.6753
KE = 15.9546, PE = -4.18215, total = 11.7724
KE = 16.7043, PE = -4.84245, total = 11.8619
KE = 17.3133, PE = -5.37143, total = 11.9419
KE = 17.8002, PE = -5.7881, total = 12.0121
KE = 18.1838, PE = -6.11086, total = 12.0729
KE = 18.4817, PE = -6.35645, total = 12.1252
KE = 18.7095, PE = -6.53949, total = 12.17
KE = 18.8808, PE = -6.67242, total = 12.2083
KE = 19.0068, PE = -6.76557, total = 12.2412
KE = 19.097, PE = -6.82742, total = 12.2695
KE = 19.1589, PE = -6.86487, total = 12.294
KE = 19.1987, PE = -6.88345, total = 12.3152
KE = 19.2214, PE = -6.88759, total = 12.3338
KE = 19.2308, PE = -6.8808, total = 12.35
KE = 19.2301, PE = -6.86585, total = 12.3643
KE = 19.2218, PE = -6.8449, total = 12.3769
KE = 19.2078, PE = -6.81965, total = 12.3882
KE = 19.1895, PE = -6.7914, total = 12.3981
KE = 19.1682, PE = -6.76114, total = 12.407
KE = 19.1446, PE = -6.72964, total = 12.4149
